Communication Skills,Problem Solving Skills,Leadership and Ethics,Quantitative Aptitude,Logical Reasoning,Public Speaking,Marketing Skills,Human Resource Management,Legal Knowledge,Design Thinking,Creative Writing,Healthcare Procedures,Financial Accounting,Education Pedagogy,Training & Development,Hospitality Management,Nutrition & Dietetics,Media Production,Role
Intermediate,Intermediate,Professional,Intermediate,Poor,Poor,Professional,Professional,Professional,Poor,Intermediate,Beginner,Professional,Average,Beginner,Beginner,Intermediate,Beginner,Investment Banker
Poor,Beginner,Beginner,Poor,Intermediate,Intermediate,Intermediate,Professional,Professional,Beginner,Poor,Professional,Average,Professional,Beginner,Poor,Professional,Poor,Investment Banker
Average,Intermediate,Beginner,Beginner,Beginner,Poor,Beginner,Poor,Intermediate,Poor,Intermediate,Beginner,Poor,Intermediate,Intermediate,Professional,Poor,Professional,Investment Banker
Beginner,Average,Intermediate,Beginner,Beginner,Professional,Average,Beginner,Intermediate,Beginner,Professional,Average,Professional,Professional,Professional,Professional,Intermediate,Intermediate,Investment Banker
Professional,Beginner,Intermediate,Beginner,Beginner,Professional,Intermediate,Average,Beginner,Beginner,Beginner,Average,Average,Intermediate,Beginner,Poor,Intermediate,Poor,Investment Banker
Beginner,Poor,Beginner,Beginner,Poor,Professional,Intermediate,Professional,Intermediate,Beginner,Poor,Beginner,Average,Professional,Poor,Beginner,Beginner,Poor,Investment Banker
Beginner,Beginner,Average,Poor,Beginner,Intermediate,Beginner,Professional,Poor,Poor,Beginner,Beginner,Average,Beginner,Professional,Intermediate,Intermediate,Beginner,Investment Banker
Intermediate,Average,Professional,Beginner,Poor,Intermediate,Poor,Intermediate,Professional,Beginner,Beginner,Beginner,Professional,Average,Average,Professional,Professional,Intermediate,Investment Banker
Professional,Professional,Professional,Poor,Average,Poor,Beginner,Average,Poor,Average,Professional,Average,Average,Intermediate,Professional,Beginner,Intermediate,Intermediate,Investment Banker
Average,Poor,Intermediate,Professional,Intermediate,Poor,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Intermediate,Professional,Average,Professional,Intermediate,Poor,Average,Investment Banker
Professional,Professional,Average,Poor,Professional,Beginner,Beginner,Average,Intermediate,Poor,Beginner,Beginner,Beginner,Professional,Professional,Poor,Professional,Average,Investment Banker
Professional,Intermediate,Poor,Average,Poor,Poor,Intermediate,Beginner,Professional,Average,Beginner,Intermediate,Intermediate,Average,Poor,Average,Professional,Professional,Investment Banker
Beginner,Professional,Average,Intermediate,Average,Average,Average,Poor,Intermediate,Average,Average,Poor,Intermediate,Intermediate,Average,Professional,Average,Intermediate,Investment Banker
Beginner,Intermediate,Professional,Intermediate,Professional,Beginner,Intermediate,Professional,Average,Intermediate,Average,Poor,Intermediate,Beginner,Poor,Average,Poor,Poor,Investment Banker
Professional,Professional,Intermediate,Professional,Professional,Beginner,Average,Professional,Professional,Beginner,Professional,Average,Professional,Beginner,Beginner,Average,Intermediate,Intermediate,Investment Banker
Beginner,Intermediate,Average,Average,Poor,Average,Intermediate,Professional,Beginner,Professional,Poor,Poor,Professional,Beginner,Intermediate,Poor,Beginner,Beginner,Investment Banker
Average,Beginner,Professional,Professional,Beginner,Intermediate,Beginner,Intermediate,Professional,Professional,Beginner,Average,Intermediate,Intermediate,Intermediate,Professional,Beginner,Professional,Investment Banker
Professional,Professional,Professional,Intermediate,Poor,Beginner,Intermediate,Poor,Average,Professional,Poor,Professional,Professional,Intermediate,Professional,Intermediate,Intermediate,Beginner,Investment Banker
Average,Beginner,Professional,Intermediate,Professional,Professional,Poor,Average,Intermediate,Professional,Professional,Professional,Poor,Beginner,Professional,Poor,Intermediate,Intermediate,Investment Banker
Poor,Average,Beginner,Professional,Professional,Professional,Intermediate,Professional,Intermediate,Intermediate,Poor,Professional,Poor,Poor,Professional,Average,Intermediate,Professional,Investment Banker
Beginner,Poor,Intermediate,Professional,Intermediate,Professional,Professional,Professional,Professional,Intermediate,Professional,Poor,Beginner,Poor,Average,Intermediate,Average,Beginner,Investment Banker
Professional,Intermediate,Beginner,Average,Intermediate,Poor,Professional,Poor,Intermediate,Intermediate,Average,Intermediate,Professional,Beginner,Professional,Beginner,Average,Professional,Investment Banker
Intermediate,Poor,Professional,Poor,Professional,Intermediate,Professional,Professional,Average,Intermediate,Beginner,Intermediate,Professional,Professional,Professional,Average,Professional,Intermediate,Investment Banker
Professional,Professional,Professional,Professional,Average,Professional,Beginner,Professional,Intermediate,Average,Professional,Average,Intermediate,Beginner,Poor,Intermediate,Poor,Beginner,Investment Banker
Intermediate,Professional,Beginner,Beginner,Poor,Average,Beginner,Intermediate,Professional,Intermediate,Beginner,Intermediate,Beginner,Average,Professional,Intermediate,Professional,Professional,Investment Banker
Average,Professional,Professional,Professional,Beginner,Poor,Average,Average,Poor,Intermediate,Beginner,Poor,Poor,Average,Average,Professional,Poor,Professional,Investment Banker
Intermediate,Professional,Beginner,Professional,Average,Poor,Beginner,Average,Poor,Average,Average,Professional,Intermediate,Professional,Average,Beginner,Intermediate,Beginner,Investment Banker
Average,Beginner,Intermediate,Beginner,Beginner,Poor,Average,Intermediate,Average,Professional,Beginner,Beginner,Average,Average,Beginner,Beginner,Average,Poor,Investment Banker
Beginner,Beginner,Intermediate,Average,Beginner,Average,Poor,Beginner,Average,Average,Professional,Professional,Poor,Poor,Intermediate,Average,Intermediate,Professional,Investment Banker
Beginner,Average,Average,Professional,Intermediate,Poor,Beginner,Intermediate,Beginner,Beginner,Poor,Beginner,Poor,Average,Beginner,Intermediate,Poor,Average,Investment Banker
Professional,Average,Intermediate,Intermediate,Poor,Intermediate,Professional,Intermediate,Intermediate,Average,Professional,Poor,Intermediate,Poor,Beginner,Intermediate,Beginner,Beginner,Investment Banker
Intermediate,Poor,Professional,Poor,Intermediate,Poor,Professional,Intermediate,Average,Poor,Professional,Beginner,Average,Average,Intermediate,Poor,Beginner,Average,Investment Banker
Professional,Intermediate,Average,Poor,Beginner,Poor,Professional,Beginner,Poor,Beginner,Beginner,Average,Beginner,Average,Intermediate,Average,Poor,Average,Investment Banker
Average,Average,Average,Poor,Beginner,Poor,Beginner,Average,Poor,Intermediate,Intermediate,Intermediate,Poor,Beginner,Professional,Professional,Intermediate,Beginner,Investment Banker
Beginner,Intermediate,Intermediate,Professional,Poor,Professional,Poor,Professional,Intermediate,Intermediate,Beginner,Poor,Beginner,Poor,Intermediate,Average,Professional,Poor,Investment Banker
Average,Poor,Poor,Average,Average,Intermediate,Poor,Intermediate,Poor,Poor,Beginner,Average,Intermediate,Poor,Professional,Professional,Beginner,Intermediate,Investment Banker
Poor,Professional,Professional,Professional,Poor,Beginner,Beginner,Average,Intermediate,Professional,Average,Intermediate,Average,Professional,Intermediate,Professional,Intermediate,Beginner,Investment Banker
Beginner,Poor,Beginner,Average,Poor,Poor,Professional,Intermediate,Beginner,Average,Professional,Average,Beginner,Professional,Average,Poor,Intermediate,Professional,Investment Banker
Professional,Poor,Beginner,Poor,Professional,Professional,Professional,Professional,Average,Poor,Beginner,Average,Beginner,Intermediate,Intermediate,Professional,Poor,Beginner,Investment Banker
Professional,Beginner,Poor,Average,Poor,Average,Professional,Beginner,Beginner,Poor,Beginner,Average,Professional,Poor,Intermediate,Poor,Intermediate,Intermediate,Investment Banker
Poor,Average,Average,Intermediate,Beginner,Intermediate,Average,Poor,Professional,Average,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Investment Banker
Intermediate,Intermediate,Intermediate,Professional,Beginner,Intermediate,Beginner,Beginner,Beginner,Average,Intermediate,Intermediate,Average,Average,Poor,Beginner,Professional,Average,Investment Banker
Intermediate,Beginner,Beginner,Poor,Average,Average,Poor,Professional,Intermediate,Professional,Beginner,Average,Average,Poor,Beginner,Professional,Poor,Poor,Investment Banker
Average,Professional,Poor,Beginner,Poor,Beginner,Average,Intermediate,Average,Beginner,Professional,Average,Average,Average,Beginner,Average,Beginner,Professional,Investment Banker
Intermediate,Poor,Average,Poor,Average,Beginner,Professional,Average,Average,Beginner,Beginner,Beginner,Average,Poor,Professional,Average,Intermediate,Beginner,Investment Banker
Beginner,Poor,Poor,Professional,Professional,Professional,Professional,Average,Average,Average,Professional,Beginner,Professional,Average,Professional,Intermediate,Average,Professional,Investment Banker
Average,Intermediate,Professional,Average,Intermediate,Professional,Professional,Poor,Professional,Beginner,Average,Beginner,Poor,Average,Average,Poor,Beginner,Beginner,Investment Banker
Poor,Average,Intermediate,Poor,Intermediate,Professional,Poor,Average,Intermediate,Beginner,Beginner,Average,Beginner,Beginner,Intermediate,Intermediate,Intermediate,Beginner,Investment Banker
Intermediate,Beginner,Poor,Intermediate,Average,Poor,Professional,Poor,Intermediate,Intermediate,Professional,Poor,Intermediate,Intermediate,Beginner,Professional,Poor,Intermediate,Investment Banker
Beginner,Poor,Average,Beginner,Professional,Poor,Beginner,Poor,Intermediate,Average,Poor,Professional,Beginner,Intermediate,Professional,Average,Professional,Professional,Investment Banker
Poor,Poor,Intermediate,Professional,Average,Intermediate,Intermediate,Poor,Average,Poor,Beginner,Professional,Poor,Average,Average,Intermediate,Poor,Professional,Investment Banker
Poor,Professional,Professional,Intermediate,Professional,Professional,Professional,Poor,Professional,Professional,Beginner,Average,Poor,Intermediate,Beginner,Intermediate,Average,Poor,Investment Banker
Poor,Poor,Intermediate,Average,Average,Intermediate,Beginner,Professional,Average,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Beginner,Poor,Beginner,Beginner,Investment Banker
Professional,Professional,Average,Professional,Intermediate,Beginner,Intermediate,Average,Intermediate,Beginner,Professional,Average,Average,Intermediate,Average,Professional,Professional,Beginner,Investment Banker
Beginner,Poor,Intermediate,Beginner,Professional,Intermediate,Beginner,Professional,Professional,Beginner,Poor,Professional,Intermediate,Professional,Intermediate,Beginner,Intermediate,Average,Investment Banker
Intermediate,Poor,Beginner,Professional,Poor,Intermediate,Beginner,Professional,Beginner,Intermediate,Beginner,Beginner,Intermediate,Average,Intermediate,Beginner,Poor,Poor,Investment Banker
Average,Professional,Beginner,Intermediate,Beginner,Beginner,Professional,Professional,Beginner,Poor,Average,Beginner,Professional,Intermediate,Beginner,Intermediate,Intermediate,Average,Investment Banker
Poor,Intermediate,Poor,Average,Beginner,Professional,Beginner,Average,Beginner,Average,Professional,Beginner,Intermediate,Professional,Poor,Average,Beginner,Intermediate,Investment Banker
Poor,Intermediate,Beginner,Average,Professional,Intermediate,Beginner,Poor,Average,Intermediate,Poor,Average,Beginner,Poor,Professional,Professional,Average,Beginner,Investment Banker
Intermediate,Intermediate,Poor,Intermediate,Professional,Poor,Beginner,Beginner,Poor,Average,Professional,Poor,Beginner,Beginner,Average,Professional,Professional,Beginner,Investment Banker
Average,Average,Poor,Poor,Intermediate,Average,Professional,Average,Average,Professional,Intermediate,Intermediate,Average,Beginner,Intermediate,Professional,Professional,Beginner,Investment Banker
Poor,Poor,Intermediate,Poor,Intermediate,Poor,Beginner,Beginner,Professional,Beginner,Poor,Poor,Intermediate,Average,Professional,Average,Professional,Beginner,Investment Banker
Beginner,Professional,Poor,Poor,Average,Professional,Average,Intermediate,Average,Average,Average,Intermediate,Intermediate,Professional,Beginner,Beginner,Professional,Intermediate,Investment Banker
Poor,Average,Professional,Poor,Professional,Average,Intermediate,Average,Average,Intermediate,Poor,Professional,Average,Beginner,Poor,Beginner,Professional,Professional,Investment Banker
Beginner,Intermediate,Poor,Beginner,Intermediate,Average,Average,Average,Professional,Professional,Beginner,Professional,Professional,Average,Beginner,Average,Average,Average,Investment Banker
Beginner,Beginner,Average,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Poor,Poor,Beginner,Professional,Average,Poor,Intermediate,Poor,Average,Intermediate,Investment Banker
Average,Beginner,Average,Intermediate,Professional,Beginner,Intermediate,Professional,Professional,Poor,Poor,Average,Intermediate,Average,Professional,Poor,Average,Average,Investment Banker
Beginner,Beginner,Poor,Intermediate,Intermediate,Professional,Beginner,Poor,Beginner,Beginner,Intermediate,Poor,Intermediate,Poor,Beginner,Average,Average,Professional,Investment Banker
Poor,Beginner,Beginner,Intermediate,Poor,Average,Beginner,Beginner,Beginner,Average,Professional,Average,Average,Beginner,Intermediate,Poor,Beginner,Intermediate,Investment Banker
Beginner,Poor,Average,Professional,Average,Intermediate,Professional,Poor,Professional,Intermediate,Intermediate,Professional,Professional,Intermediate,Beginner,Professional,Beginner,Intermediate,Investment Banker
Professional,Professional,Poor,Average,Poor,Professional,Average,Poor,Professional,Beginner,Beginner,Intermediate,Average,Average,Poor,Beginner,Intermediate,Average,Investment Banker
Beginner,Beginner,Average,Poor,Average,Poor,Professional,Beginner,Average,Intermediate,Intermediate,Professional,Beginner,Poor,Average,Professional,Intermediate,Beginner,Investment Banker
Professional,Intermediate,Beginner,Professional,Intermediate,Intermediate,Average,Professional,Intermediate,Beginner,Poor,Beginner,Beginner,Average,Average,Intermediate,Beginner,Average,Investment Banker
Professional,Intermediate,Average,Poor,Professional,Professional,Professional,Intermediate,Beginner,Beginner,Beginner,Average,Poor,Average,Professional,Beginner,Average,Beginner,Investment Banker
Intermediate,Intermediate,Poor,Professional,Professional,Intermediate,Beginner,Professional,Professional,Average,Poor,Average,Professional,Poor,Poor,Intermediate,Beginner,Professional,Investment Banker
Average,Professional,Poor,Intermediate,Intermediate,Professional,Beginner,Intermediate,Average,Average,Beginner,Average,Intermediate,Beginner,Intermediate,Intermediate,Beginner,Average,Investment Banker
Intermediate,Beginner,Average,Average,Poor,Poor,Poor,Professional,Intermediate,Poor,Professional,Average,Beginner,Poor,Average,Intermediate,Beginner,Professional,Investment Banker
Poor,Average,Professional,Intermediate,Poor,Average,Poor,Poor,Average,Professional,Poor,Intermediate,Professional,Professional,Professional,Poor,Average,Average,Investment Banker
Beginner,Professional,Average,Average,Beginner,Beginner,Poor,Poor,Intermediate,Professional,Professional,Average,Beginner,Beginner,Professional,Professional,Beginner,Average,Investment Banker
Poor,Intermediate,Professional,Professional,Professional,Average,Average,Average,Professional,Beginner,Poor,Intermediate,Professional,Poor,Average,Professional,Poor,Average,Investment Banker
Intermediate,Average,Poor,Professional,Intermediate,Poor,Intermediate,Average,Average,Average,Poor,Beginner,Poor,Beginner,Beginner,Professional,Professional,Poor,Investment Banker
Beginner,Professional,Professional,Average,Average,Poor,Poor,Professional,Poor,Poor,Professional,Intermediate,Beginner,Beginner,Professional,Professional,Professional,Intermediate,Investment Banker
Intermediate,Beginner,Professional,Beginner,Intermediate,Professional,Intermediate,Professional,Professional,Beginner,Poor,Beginner,Average,Professional,Professional,Average,Average,Intermediate,Investment Banker
Professional,Poor,Poor,Beginner,Average,Beginner,Intermediate,Professional,Professional,Poor,Professional,Intermediate,Professional,Intermediate,Intermediate,Professional,Poor,Average,Investment Banker
Professional,Average,Professional,Average,Intermediate,Beginner,Poor,Professional,Professional,Average,Intermediate,Beginner,Intermediate,Poor,Poor,Poor,Professional,Poor,Investment Banker
Poor,Poor,Average,Poor,Intermediate,Professional,Beginner,Average,Average,Beginner,Average,Beginner,Intermediate,Professional,Intermediate,Poor,Beginner,Average,Investment Banker
Average,Beginner,Poor,Beginner,Poor,Poor,Intermediate,Average,Professional,Intermediate,Professional,Professional,Poor,Poor,Professional,Professional,Intermediate,Beginner,Investment Banker
Intermediate,Average,Intermediate,Beginner,Poor,Poor,Professional,Poor,Intermediate,Professional,Poor,Intermediate,Beginner,Average,Professional,Intermediate,Average,Professional,Investment Banker
Poor,Average,Poor,Poor,Average,Beginner,Beginner,Intermediate,Average,Professional,Beginner,Average,Professional,Poor,Average,Intermediate,Beginner,Beginner,Investment Banker
Average,Poor,Average,Beginner,Beginner,Intermediate,Intermediate,Beginner,Average,Beginner,Professional,Professional,Poor,Poor,Poor,Intermediate,Average,Average,Investment Banker
Average,Professional,Intermediate,Intermediate,Beginner,Average,Poor,Professional,Professional,Average,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Average,Average,Investment Banker
Poor,Poor,Intermediate,Intermediate,Intermediate,Professional,Professional,Intermediate,Beginner,Poor,Professional,Beginner,Intermediate,Professional,Poor,Beginner,Beginner,Average,Investment Banker
Beginner,Professional,Professional,Intermediate,Average,Intermediate,Intermediate,Intermediate,Professional,Poor,Average,Professional,Poor,Poor,Beginner,Average,Professional,Poor,Investment Banker
Poor,Average,Average,Beginner,Poor,Beginner,Intermediate,Intermediate,Professional,Poor,Intermediate,Poor,Intermediate,Average,Average,Beginner,Professional,Professional,Investment Banker
Beginner,Professional,Professional,Average,Intermediate,Beginner,Beginner,Beginner,Poor,Professional,Poor,Beginner,Average,Intermediate,Intermediate,Poor,Beginner,Poor,Investment Banker
Intermediate,Intermediate,Intermediate,Beginner,Professional,Beginner,Intermediate,Professional,Average,Beginner,Intermediate,Professional,Professional,Average,Poor,Intermediate,Average,Average,Investment Banker
Professional,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Professional,Average,Poor,Poor,Beginner,Beginner,Beginner,Professional,Beginner,Intermediate,Poor,Intermediate,Investment Banker
Poor,Intermediate,Professional,Beginner,Professional,Beginner,Average,Beginner,Average,Beginner,Intermediate,Average,Professional,Professional,Poor,Professional,Average,Professional,Investment Banker
Intermediate,Beginner,Intermediate,Average,Intermediate,Intermediate,Professional,Beginner,Professional,Poor,Professional,Average,Professional,Beginner,Intermediate,Poor,Beginner,Average,Investment Banker
Poor,Professional,Professional,Intermediate,Poor,Average,Beginner,Average,Beginner,Professional,Professional,Beginner,Poor,Intermediate,Beginner,Professional,Intermediate,Poor,Investment Banker
Professional,Average,Professional,Beginner,Poor,Intermediate,Beginner,Professional,Intermediate,Beginner,Professional,Poor,Average,Intermediate,Intermediate,Professional,Beginner,Professional,Investment Banker
Professional,Average,Beginner,Poor,Beginner,Poor,Beginner,Intermediate,Beginner,Average,Intermediate,Poor,Professional,Poor,Average,Beginner,Beginner,Beginner,Investment Banker
Beginner,Beginner,Poor,Average,Intermediate,Average,Intermediate,Average,Intermediate,Intermediate,Average,Average,Poor,Poor,Poor,Average,Poor,Beginner,Investment Banker
Poor,Poor,Beginner,Intermediate,Intermediate,Beginner,Poor,Professional,Professional,Poor,Beginner,Intermediate,Intermediate,Beginner,Poor,Average,Beginner,Poor,Investment Banker
Professional,Intermediate,Average,Professional,Beginner,Beginner,Professional,Professional,Beginner,Professional,Beginner,Poor,Professional,Intermediate,Average,Intermediate,Poor,Average,Investment Banker
Intermediate,Professional,Intermediate,Professional,Poor,Beginner,Professional,Average,Intermediate,Poor,Poor,Poor,Beginner,Intermediate,Professional,Intermediate,Poor,Average,Investment Banker
Intermediate,Professional,Intermediate,Poor,Poor,Intermediate,Intermediate,Intermediate,Professional,Poor,Poor,Poor,Intermediate,Average,Professional,Poor,Poor,Intermediate,Investment Banker
Professional,Professional,Poor,Intermediate,Average,Average,Beginner,Professional,Poor,Average,Beginner,Intermediate,Beginner,Poor,Average,Professional,Beginner,Average,Investment Banker
Intermediate,Intermediate,Poor,Average,Poor,Professional,Professional,Beginner,Professional,Poor,Poor,Poor,Beginner,Average,Professional,Poor,Average,Poor,Investment Banker
Average,Average,Average,Intermediate,Poor,Average,Beginner,Poor,Poor,Professional,Intermediate,Intermediate,Professional,Average,Average,Average,Poor,Average,Investment Banker
Beginner,Beginner,Average,Intermediate,Average,Beginner,Professional,Professional,Intermediate,Poor,Poor,Average,Average,Poor,Professional,Average,Beginner,Poor,Investment Banker
Beginner,Intermediate,Poor,Intermediate,Intermediate,Professional,Average,Beginner,Average,Intermediate,Beginner,Beginner,Intermediate,Average,Intermediate,Average,Intermediate,Professional,Investment Banker
Average,Professional,Average,Professional,Average,Beginner,Intermediate,Average,Professional,Poor,Beginner,Beginner,Average,Average,Intermediate,Poor,Intermediate,Professional,Investment Banker
Average,Professional,Average,Professional,Poor,Professional,Average,Intermediate,Average,Intermediate,Average,Poor,Professional,Poor,Beginner,Beginner,Intermediate,Beginner,Investment Banker
Intermediate,Intermediate,Intermediate,Average,Professional,Beginner,Professional,Poor,Average,Poor,Average,Average,Average,Beginner,Professional,Professional,Average,Average,Investment Banker
Intermediate,Poor,Beginner,Beginner,Average,Poor,Poor,Professional,Poor,Intermediate,Beginner,Intermediate,Beginner,Beginner,Intermediate,Average,Beginner,Beginner,Investment Banker
Beginner,Poor,Poor,Professional,Poor,Intermediate,Beginner,Beginner,Professional,Professional,Beginner,Beginner,Professional,Professional,Average,Professional,Average,Beginner,Investment Banker
Beginner,Poor,Professional,Poor,Poor,Professional,Intermediate,Beginner,Average,Intermediate,Beginner,Intermediate,Intermediate,Average,Intermediate,Professional,Intermediate,Intermediate,Investment Banker
Average,Average,Professional,Beginner,Poor,Average,Intermediate,Professional,Professional,Intermediate,Beginner,Professional,Professional,Poor,Poor,Intermediate,Beginner,Average,Investment Banker
Average,Average,Poor,Poor,Poor,Intermediate,Beginner,Professional,Average,Poor,Poor,Poor,Average,Beginner,Beginner,Professional,Intermediate,Beginner,Investment Banker
Professional,Poor,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Beginner,Poor,Professional,Average,Beginner,Average,Average,Average,Beginner,Professional,Average,Investment Banker
Professional,Beginner,Average,Beginner,Beginner,Beginner,Average,Beginner,Intermediate,Poor,Average,Intermediate,Intermediate,Intermediate,Beginner,Average,Professional,Intermediate,Investment Banker
Beginner,Beginner,Intermediate,Average,Average,Professional,Intermediate,Professional,Professional,Intermediate,Beginner,Professional,Professional,Poor,Intermediate,Poor,Average,Poor,Investment Banker
Poor,Professional,Intermediate,Professional,Average,Beginner,Professional,Intermediate,Average,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Beginner,Beginner,Poor,Beginner,Investment Banker
Intermediate,Intermediate,Professional,Professional,Professional,Poor,Beginner,Intermediate,Beginner,Professional,Average,Poor,Beginner,Intermediate,Professional,Intermediate,Professional,Professional,Investment Banker
Beginner,Intermediate,Intermediate,Poor,Beginner,Average,Professional,Intermediate,Beginner,Professional,Intermediate,Average,Intermediate,Beginner,Intermediate,Intermediate,Professional,Poor,Investment Banker
Poor,Average,Professional,Intermediate,Beginner,Professional,Professional,Intermediate,Average,Professional,Intermediate,Beginner,Average,Poor,Intermediate,Intermediate,Professional,Professional,Investment Banker
Average,Average,Beginner,Professional,Poor,Average,Intermediate,Average,Professional,Poor,Poor,Professional,Beginner,Poor,Poor,Poor,Beginner,Intermediate,Investment Banker
Intermediate,Beginner,Average,Poor,Professional,Professional,Intermediate,Professional,Intermediate,Beginner,Professional,Average,Average,Poor,Professional,Professional,Poor,Average,Investment Banker
Professional,Poor,Professional,Beginner,Poor,Poor,Average,Professional,Poor,Professional,Average,Poor,Beginner,Professional,Professional,Average,Beginner,Beginner,Investment Banker
Professional,Intermediate,Poor,Poor,Poor,Poor,Intermediate,Professional,Poor,Intermediate,Beginner,Professional,Intermediate,Professional,Intermediate,Average,Poor,Poor,Investment Banker
Beginner,Poor,Professional,Poor,Poor,Poor,Average,Professional,Beginner,Professional,Poor,Poor,Average,Beginner,Beginner,Poor,Average,Professional,Investment Banker
Professional,Beginner,Poor,Beginner,Poor,Poor,Poor,Average,Professional,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Average,Poor,Beginner,Investment Banker
Average,Average,Beginner,Professional,Professional,Professional,Professional,Beginner,Beginner,Beginner,Professional,Poor,Beginner,Poor,Average,Beginner,Poor,Professional,Investment Banker
Average,Poor,Intermediate,Poor,Beginner,Average,Average,Poor,Beginner,Poor,Average,Beginner,Beginner,Intermediate,Beginner,Professional,Professional,Beginner,Investment Banker
Average,Poor,Beginner,Beginner,Professional,Poor,Average,Professional,Intermediate,Average,Poor,Intermediate,Average,Intermediate,Beginner,Beginner,Professional,Professional,Investment Banker
Poor,Poor,Average,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Beginner,Professional,Beginner,Intermediate,Professional,Poor,Professional,Poor,Professional,Average,Investment Banker
Professional,Poor,Intermediate,Average,Intermediate,Average,Poor,Professional,Intermediate,Professional,Intermediate,Average,Professional,Poor,Professional,Average,Average,Professional,Investment Banker
Poor,Intermediate,Intermediate,Poor,Beginner,Average,Average,Intermediate,Intermediate,Beginner,Average,Beginner,Average,Beginner,Professional,Poor,Intermediate,Professional,Investment Banker
Beginner,Professional,Poor,Poor,Average,Beginner,Average,Beginner,Poor,Professional,Professional,Average,Average,Intermediate,Beginner,Professional,Intermediate,Average,Investment Banker
Intermediate,Average,Intermediate,Professional,Average,Professional,Beginner,Average,Average,Intermediate,Intermediate,Intermediate,Poor,Beginner,Intermediate,Intermediate,Professional,Professional,Investment Banker
Poor,Poor,Average,Beginner,Intermediate,Beginner,Poor,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Intermediate,Poor,Average,Intermediate,Intermediate,Poor,Investment Banker
Average,Intermediate,Beginner,Professional,Average,Beginner,Average,Professional,Poor,Average,Professional,Beginner,Average,Poor,Intermediate,Professional,Professional,Poor,Investment Banker
Beginner,Beginner,Beginner,Intermediate,Poor,Poor,Intermediate,Intermediate,Beginner,Professional,Intermediate,Poor,Intermediate,Professional,Poor,Beginner,Beginner,Professional,Investment Banker
Poor,Average,Professional,Beginner,Average,Average,Poor,Average,Professional,Beginner,Beginner,Professional,Poor,Beginner,Average,Intermediate,Beginner,Intermediate,Investment Banker
Average,Poor,Average,Average,Poor,Average,Average,Beginner,Intermediate,Average,Average,Average,Poor,Beginner,Poor,Professional,Intermediate,Poor,Investment Banker
